launch_speed,launch_angle,estimated_ba_using_speedangle
61.9,0,0.114
105.6,-24,0.143
73.7,-1,0.117
70,-35,0.066
94.3,-14,0.137
109.8,8,0.783
94.7,16,0.717
93.9,12,0.926
85.6,-35,0.057
93.4,40,0.014
87.2,-12,0.171
43.3,24,0.189
96.8,-6,0.251
77,68,0.003
100,12,0.934
83.3,28,0.114
90.4,-30,0.089
103,6,0.634
107.2,13,0.869
62.6,-30,0.034
90.2,11,0.709
65.3,-55,0.291
105.7,5,0.609
101.7,-3,0.391
89,18,0.726
57.9,-25,0.077
71.5,60,0.011
75.8,43,0.126
106.8,17,0.609
84.6,22,0.437
96.8,58,0.026
85.3,-15,0.069
102.7,36,0.471
91.4,45,0.014
94.5,1,0.374
81.7,-19,0.063
102.1,14,0.786
52.8,-68,0.214
73.8,48,0.103
90,6,0.48
79.1,14,0.723
27.2,-4,0.283
92.2,-25,0.094
107.4,2,0.489
99.1,7,0.586
92.6,-19,0.117
95.8,17,0.497
95.2,43,0.02
100.3,6,0.597
95.7,41,0.051
81.8,70,0.001
70.4,-23,0.037
87.3,-45,0.106
84.9,75,0.003
105.4,8,0.686
105.9,20,0.743
95,37,0.094
93.7,27,0.151
58.2,-24,0.086
106.4,22,0.86
104.6,-11,0.32
87.2,11,0.64
103.9,-2,0.374
105.1,-13,0.294
96.6,12,0.94
72.6,-5,0.083
106.1,4,0.591
67.3,60,0.011
86.5,8,0.437
102.4,-2,0.389
90.8,32,0.077
105.4,-3,0.391
103.1,6,0.634
101.2,-16,0.211
108.8,-33,0.106
99.2,12,0.931
86.8,23,0.24
69,45,0.334
94.2,-9,0.194
105.8,-1,0.44
79,62,0.011
84,20,0.769
79.7,41,0.029
55.2,33,0.229
93,8,0.574
87.9,-39,0.066
85.4,18,0.903
97.1,55,0.006
92.5,-42,0.08
97.7,19,0.346
93.7,-9,0.194
89.3,-19,0.097
83.3,-11,0.094
106,18,0.563
85.6,38,0.003
104.1,18,0.489
98.3,-4,0.266
84.3,5,0.394
90.6,-31,0.086
70.2,-8,0.069
67.2,-22,0.057
110.1,21,0.957
108.8,5,0.626
108.1,39,0.663
87.2,20,0.526
73.9,22,0.98
94.4,33,0.166
92.8,36,0.077
90.9,38,0.023
100.2,28,0.597
81.6,31,0.051
97,-21,0.129
95.4,35,0.094
83.4,12,0.531
103.6,26,0.877
76.5,39,0.097
89.1,30,0.066
94.7,39,0.071
91.1,1,0.311
102.3,-1,0.466
67.5,29,0.966
103.1,-2,0.403
94.3,21,0.254
93.8,-26,0.083
90.4,17,0.811
64.7,-27,0.04
105.5,2,0.469
49.8,-71,0.209
85.9,22,0.323
68,46,0.28
94,-14,0.137
84.9,-12,0.106
95.1,13,0.937
106.1,19,0.683
105.1,25,0.929
64.7,84,0.003
101.8,-13,0.194
85.8,51,0.006
96.4,27,0.289
66.4,-34,0.083
105.1,5,0.597
95.5,-4,0.314
95.7,20,0.343
96.9,-1,0.326
99.3,-20,0.16
82.2,-63,0.36
84.3,52,0.029
83.5,-6,0.154
77,0,0.126
70.4,48,0.211
100.7,13,0.906
96.7,21,0.283
85.4,-26,0.051
101.3,9,0.674
91.4,-38,0.066
99.2,23,0.391
99.3,35,0.28
110.2,44,0.46
73.5,0,0.134
84.5,12,0.589
60.9,-7,0.086
86.2,25,0.16
101.3,17,0.486
105.8,16,0.583
101.9,21,0.549
80.9,32,0.034
84.4,-20,0.063
76.3,23,0.897
102.7,-13,0.234
64.3,-8,0.08
99.6,16,0.526
75,-11,0.066
86.4,32,0.04
89.3,45,0.011
92.2,12,0.831
104.8,4,0.569
97.9,35,0.257
93.9,1,0.374
64.9,-38,0.089
83.5,6,0.42
80.6,24,0.457
70.6,23,0.974
99,-3,0.323
91.4,46,0.003
87.8,67,0.006
102,-14,0.223
69.7,64,0.003
103.8,6,0.606
94,-26,0.083
100.8,-14,0.183
85.4,23,0.269
97.9,11,0.866
100.3,3,0.486
98,-5,0.263
83.4,-8,0.114
95.9,-16,0.126
58.6,29,0.423
104.6,-23,0.18
34.8,-44,0.297
78.4,-14,0.063
94.4,23,0.149
83.2,35,0.037
55.5,-18,0.089
68,14,0.397
83,39,0.011
95.6,-4,0.32
94.5,43,0.02
48.9,-46,0.209
79.4,37,0.04
98.7,26,0.491
65.2,-23,0.057
79.3,-34,0.034
101,35,0.414
95.5,-14,0.2
72.9,10,0.263
55.2,8,0.126
87.9,43,0.001
83.2,66,0.001
88.9,-37,0.057
90.8,25,0.106
99.4,-5,0.274
94.3,53,0.009
101.8,15,0.691
83.5,-9,0.103
79.3,16,0.886
80.2,-6,0.117
66.9,-49,0.229
105.2,39,0.434
70.7,45,0.26
105.8,24,0.934
100.2,26,0.514
89.5,-28,0.074
102.7,11,0.943
82.7,4,0.306
96.4,34,0.146
76,23,0.897
95.4,10,0.709
91.2,76,0.009
92.1,39,0.029
83.8,5,0.394
71.8,48,0.171
76.3,11,0.311
98.5,-3,0.323
84.8,74,0.001
56.1,65,0.001
112.5,27,0.999
93.6,-2,0.306
87,21,0.42
112.6,17,0.817
92.1,14,0.954
100.1,12,0.934
66.4,2,0.114
92.4,3,0.426
90.2,-15,0.103
103.1,20,0.551
72,-19,0.043
93.2,36,0.077
110.5,-21,0.151
99.8,49,0.02
104.4,5,0.577
86.1,61,0.02
83.6,52,0.029
75.3,62,0.014
109.8,11,0.923
104,2,0.486
55.2,16,0.166
93,42,0.003
103.4,-2,0.403
99,16,0.603
107.6,28,0.971
89.9,55,0.014
92.2,28,0.097
80.7,32,0.034
101.8,3,0.569
94.5,-8,0.209
81.8,23,0.52
67.4,-22,0.057
102.5,-11,0.274
101.2,-11,0.234
78.3,-60,0.337
84,-11,0.109
88.2,21,0.334
91,-19,0.091
92.5,8,0.574
75.8,-19,0.06
106.7,6,0.649
75.9,-63,0.326
93.8,26,0.194
89.2,78,0.009
74.7,42,0.157
106.3,24,0.934
69.4,32,0.863
56.7,-59,0.263
96.9,47,0.011
91.8,33,0.071
97.9,31,0.334
85.1,62,0.02
93.3,68,0.009
83.5,4,0.306
64.4,-12,0.054
93.8,10,0.649
81.7,33,0.04
105.6,15,0.674
82.3,42,0.011
80.1,-18,0.051
84.4,7,0.391
93.6,23,0.149
74.7,-39,0.091
63.3,-12,0.071
76,17,0.894
93.5,38,0.04
81.3,-27,0.049
87.8,31,0.026
107.3,9,0.746
92.8,-29,0.071
99,22,0.371
92.1,30,0.089
105.2,3,0.571
94.6,12,0.909
79.2,32,0.057
85.9,10,0.5
90.2,-6,0.197
102.5,-19,0.18
75.1,-3,0.114
79.7,-3,0.126
78.2,-24,0.04
80.8,60,0.023
54.3,-56,0.226
81,82,0.006
62.8,-25,0.054
88.9,51,0.009
82.4,-53,0.191
99.2,45,0.037
90.9,43,0.009
72.5,30,0.594
,,
71.6,-22,0.066
110.9,8,0.751
99.8,11,0.86
97.5,37,0.171
91.6,19,0.466
78.8,12,0.42
89.7,32,0.04
95.7,7,0.566
92.9,29,0.129
109,18,0.771
95.6,43,0.031
88.1,36,0.02
103.7,-2,0.374
92.6,34,0.074
75.4,26,0.723
84.2,-22,0.086
101.5,8,0.66
89.1,-9,0.16
90.7,22,0.249
74.4,75,0.001
71.6,55,0.074
94.4,7,0.509
69.1,-6,0.109
99.6,26,0.514
82.4,16,0.96
102.7,34,0.574
106.2,8,0.663
83.7,60,0.011
100.5,35,0.366
83.9,59,0.017
72.3,-21,0.06
90.5,27,0.111
73.5,28,0.691
106.3,-25,0.12
85.3,56,0.02
107.9,13,0.854
79.5,9,0.386
85.4,73,0.001
73.9,22,0.98
78.7,32,0.057
94.9,1,0.363
84.2,-13,0.103
103.8,-11,0.311
81.3,-12,0.1
89.9,57,0.009
69,-2,0.109
81,75,0.001
106.5,-1,0.44
91,-21,0.097
93.3,19,0.446
103.6,28,0.863
98.5,14,0.86
84,42,0.003
105.1,-22,0.191
62.8,-30,0.034
86.6,16,0.989
102.9,31,0.723
86.5,63,0.009
75.8,-17,0.066
92.1,-10,0.191
91.8,-1,0.274
102.3,27,0.789
63.6,21,0.591
64.2,21,0.591
57.9,-64,0.277
44.3,-41,0.28
67.8,13,0.323
90.8,-3,0.269
80.3,61,0.011
73.5,-24,0.06
104.1,5,0.577
97.8,22,0.363
72.4,5,0.2
74.7,41,0.151
97.7,-24,0.109
71.2,51,0.137
72.4,43,0.291
80.4,23,0.617
88.6,10,0.583
92.2,35,0.066
104,-19,0.189
94.8,73,0.003
100.2,61,0.02
94.4,60,0.02
50.6,-48,0.183
93.4,9,0.591
97.2,60,0.026
92.8,16,0.826
73.8,35,0.246
77.5,3,0.174
89.4,-2,0.251
94.4,-9,0.194
75.3,-12,0.071
88.1,14,0.966
96.9,-5,0.263
46.1,14,0.171
103.9,-5,0.374
96,-17,0.149
91.3,-14,0.123
65.4,7,0.194
90.6,42,0.009
98.2,4,0.477
88.6,24,0.146
84.8,79,0.003
92.6,73,0.001
113.9,3,0.663
89.4,60,0.023
88.7,19,0.649
106.3,36,0.723
48.3,31,0.146
104.6,6,0.626
104.4,5,0.577
101.8,8,0.711
109,20,0.86
100.2,13,0.906
110.3,13,0.826
67.3,-10,0.074
104.4,12,0.914
97.1,17,0.474
86.8,11,0.64
99.3,-8,0.26
98.9,3,0.489
91.4,-5,0.194
99.9,-4,0.334
89.6,49,0.009
93,15,0.937
69.3,37,0.683
107.7,-20,0.143
113.5,13,0.829
103.6,3,0.514
82.5,69,0.001
66.7,30,0.966
82.3,-5,0.169
70,35,0.703
104.8,17,0.554
100.4,5,0.54
90.2,57,0.009
76.5,-46,0.12
91,3,0.42
79.1,-17,0.06
67.9,45,0.32
92.5,29,0.129
100,9,0.666
75.3,-25,0.031
94.5,-10,0.169
86.6,-1,0.26
83.4,58,0.02
78.8,69,0.003
107.1,36,0.791
102.9,15,0.663
100.8,26,0.617
94.9,35,0.094
91.8,12,0.831
70.7,15,0.506
67.3,34,0.874
107.1,28,0.946
92.6,-7,0.191
109.8,29,0.994
89.1,27,0.063
106,-2,0.431
102.6,40,0.271
98.4,41,0.086
99.5,-16,0.171
81.8,5,0.334
79.3,-29,0.049
107.9,0,0.494
97,54,0.009
87.1,11,0.64
93.4,28,0.109
89,28,0.054
104.8,6,0.626
93.2,27,0.117
92.6,47,0.001
96.3,-19,0.14
98.5,-4,0.283
109.5,3,0.609
102.6,20,0.551
92.5,21,0.237
86,28,0.069
106.3,4,0.591
101.1,36,0.406
104.3,17,0.517
80.9,81,0.011
87.8,-1,0.257
96.5,18,0.42
99.4,7,0.586
104,20,0.583
84,-24,0.057
101.2,14,0.783
94.2,20,0.331
106.5,12,0.903
78.3,13,0.477
57.4,69,0.001
87,29,0.049
95.2,37,0.094
104.8,30,0.88
80.3,28,0.14
112.8,20,0.969
92.2,53,0.003
90.8,-7,0.186
114.3,11,0.88
89.6,23,0.18
111.5,21,0.98
109.4,-3,0.451
81.6,56,0.031
92.1,24,0.143
82.6,-19,0.069
101.3,16,0.563
82.6,-23,0.051
102.8,28,0.76
60.9,51,0.063
102.8,27,0.851
86.5,-6,0.171
91.1,16,0.929
98.2,-1,0.397
77.1,19,0.977
94.6,48,0.003
85.6,47,0.003
96.5,34,0.146
97.9,-7,0.24
100.3,12,0.934
101.7,8,0.711
97.1,33,0.251
92,39,0.029
87.4,8,0.451
79.6,48,0.049
67,1,0.109
96.3,25,0.26
108.9,35,0.9
111.6,2,0.569
81,14,0.78
105.6,5,0.609
96.2,34,0.146
60,13,0.209
68,-7,0.066
92.4,-4,0.217
89.3,-31,0.074
97.8,25,0.417
90,-6,0.197
94.5,46,0.006
101.1,8,0.66
81.3,-45,0.109
86,68,0.006
103.7,-5,0.374
98.9,37,0.191
103.1,16,0.569
105.2,-3,0.391
102.3,16,0.611
95.5,0,0.349
86.4,8,0.437
93.1,40,0.014
105.6,1,0.494
95.8,34,0.146
98.8,-3,0.323
66.9,23,0.871
54.4,-35,0.129
89,16,0.96
100.3,-12,0.211
85.6,-41,0.057
87.2,78,0.006
90.4,5,0.437
108.5,12,0.9
74.2,30,0.529
74.2,68,0.001
101.6,18,0.434
102.1,-3,0.391
97.3,26,0.3
77.3,45,0.077
97,20,0.291
96,0,0.414
81.5,-2,0.157
90.8,-12,0.123
72.8,-42,0.12
100.4,4,0.54
92.6,20,0.357
67.1,12,0.28
91.4,69,0.006
74.3,41,0.231
88.8,-8,0.151
63.3,39,0.36
107.8,13,0.854
95,24,0.214
87.3,-9,0.154
76.2,36,0.1
95.6,47,0.003
104.6,12,0.92
74,18,0.929
94.7,-15,0.137
89.4,38,0.026
96.5,37,0.114
90.8,-7,0.186
78.5,-44,0.12
89.7,-4,0.214
100.9,2,0.494
74.7,-20,0.046
106.2,14,0.729
83.4,52,0.014
71,68,0.003
73.1,-7,0.097
83.9,45,0.02
76.1,77,0.001
90.8,46,0.003
87.5,14,0.966
81.7,4,0.297
84.4,38,0.017
102.2,55,0.014
85.4,25,0.183
88,25,0.137
89.9,-40,0.069
51.5,3,0.091
76.2,34,0.154
89.6,32,0.04
95,43,0.02
75.5,-28,0.049
94.7,27,0.183
101.1,29,0.643
97.2,19,0.346
79.6,20,0.9
103.4,-11,0.274
83.6,69,0.006
62,-86,0.134
84.5,18,0.903
86.7,41,0.003
107.8,18,0.766
107.7,-5,0.397
79.2,29,0.151
92.2,22,0.206
97.8,10,0.763
104.2,31,0.846
76.6,7,0.266
95.5,17,0.497
108.4,7,0.706
96.3,30,0.209
101.1,51,0.017
98.5,22,0.363
93.1,30,0.109
85.4,9,0.457
102.6,50,0.017
106.2,0,0.5
102.4,20,0.494
82.4,7,0.4
86.3,17,0.957
91.2,-4,0.231
100.4,-50,0.137
87,36,0.023
99.9,39,0.166
62.3,30,0.646
87.2,0,0.237
89.6,-5,0.186
81.8,-22,0.054
53.2,68,0.001
74.3,33,0.291
92.1,29,0.111
79,38,0.034
104.1,37,0.506
101.5,26,0.7
107.9,-13,0.246
94.5,34,0.089
96.9,4,0.529
86.7,41,0.003
89,34,0.017
100.3,34,0.369
83.2,6,0.42
98.1,29,0.409
52,64,0.001
61.5,17,0.291
79,22,0.837
57.2,-48,0.243
87.8,14,0.966
71.4,53,0.126
67.4,8,0.209
86,41,0.009
98.1,54,0.006
65.6,-21,0.057
98.9,10,0.766
102.3,-6,0.266
96.1,32,0.231
100.6,24,0.603
94.5,-5,0.28
85.3,35,0.009
100.1,32,0.497
86.9,9,0.517
85.1,18,0.903
82.7,-22,0.069
76.6,44,0.074
94.4,-1,0.32
84.2,25,0.18
108.8,28,0.994
74.7,-37,0.08
100.9,52,0.011
80.6,-5,0.146
69.6,-46,0.149
98,-38,0.083
61.4,-64,0.24
106.1,20,0.743
98.8,27,0.474
78.4,64,0.006
92.6,30,0.109
75.5,20,0.991
110.6,-6,0.449
77.3,-31,0.066
105.1,31,0.857
63.5,-67,0.226
97.7,66,0.026
87.7,48,0.009
55.6,7,0.117
65.4,36,0.683
96,21,0.303
67.7,42,0.48
103.5,19,0.48
102.5,29,0.803
81.7,-4,0.174
91.2,29,0.066
68.6,-16,0.049
103,4,0.583
71.6,34,0.471
99.5,-1,0.434
105,-19,0.22
100.1,16,0.526
93.1,21,0.229
90.7,46,0.003
64.8,-4,0.091
83,-32,0.054
100.5,-23,0.123
79.9,-37,0.069
105.5,-12,0.303
106.9,2,0.489
95.7,30,0.209
93.8,78,0.011
97.4,26,0.3
101.9,-3,0.391
90.4,20,0.397
73.4,-16,0.043
76.8,62,0.011
100.3,30,0.574
77.6,43,0.051
110.4,18,0.78
93,6,0.517
92.9,-13,0.134
96.7,0,0.406
98.3,4,0.477
91.3,21,0.291
105.6,9,0.743
78.9,-33,0.046
104.7,-21,0.214
96.4,51,0.009
90.1,42,0.003
67,-18,0.049
59.5,-57,0.283
102.1,2,0.523
97.4,-3,0.294
93,-5,0.257
74.8,6,0.22
80.7,-26,0.046
93,69,0.014
95,49,0.003
50.2,-4,0.129
86.4,45,0.003
63,-31,0.046
81.3,-13,0.069
78,6,0.24
86.3,62,0.02
87,-9,0.154
81.4,5,0.303
101.3,19,0.357
96.4,9,0.646
85.6,42,0.003
99.4,7,0.586
93,41,0.011
93.9,37,0.086
88.7,11,0.629
87.7,-13,0.134
91.8,-14,0.129
107.6,18,0.766
77.1,8,0.249
101.5,12,0.934
99.2,-2,0.354
103.7,8,0.686
98.7,13,0.934
100.8,31,0.577
81.1,-17,0.069
96.8,-13,0.2
100.6,12,0.934
81.4,9,0.429
69.1,18,0.697
100.2,23,0.474
83.3,45,0.011
105.9,6,0.623
95.8,-23,0.1
67.9,-66,0.251
94.9,24,0.214
78.6,-3,0.123
103.1,19,0.48
79.2,31,0.083
97.9,24,0.417
76.9,26,0.557
78.6,38,0.034
92.3,-28,0.086
77.7,-2,0.131
104.2,13,0.911
105.2,-9,0.314
102.8,23,0.769
91.1,15,0.974
71.7,-49,0.243
90,6,0.48
100.2,-24,0.089
87.1,59,0.02
98.3,-5,0.263
83.6,23,0.326
83.4,-1,0.194
31.5,-55,0.24
84.2,61,0.017
92.2,12,0.831
102.8,3,0.534
99.7,-12,0.211
76.8,7,0.266
95,-4,0.314
91.5,-2,0.283
79.1,28,0.174
87,-25,0.097
82.4,73,0.001
94.1,14,0.969
81,84,0.001
100.2,-8,0.249
66.1,17,0.409
103.1,22,0.631
90.7,25,0.106
93.2,15,0.937
80.5,60,0.023
73.8,6,0.22
91.4,46,0.003
104.4,7,0.58
102.5,-12,0.254
77.7,11,0.397
76.9,31,0.197
86.2,24,0.126
68.3,-49,0.234
49.5,26,0.16
97.1,21,0.283
93.6,16,0.78
82.6,-7,0.131
76.8,11,0.394
101.8,8,0.711
81.4,-1,0.163
43.5,-21,0.249
93.8,54,0.003
80.9,22,0.697
84,-15,0.106
92.2,30,0.089
101.6,23,0.583
89.2,-6,0.2
105.2,15,0.66
84.9,-3,0.149
85.3,29,0.054
106,18,0.563
98.4,-5,0.263
99.7,-8,0.249
106.2,-8,0.303
106,4,0.591
87.4,19,0.731
98,12,0.94
90.3,11,0.709
89,6,0.451
100,41,0.12
80.3,-1,0.177
81.7,40,0.014
94.7,17,0.491
94.2,30,0.171
81.4,-5,0.146
88.8,-27,0.069
101.2,27,0.666
88.2,-3,0.206
83.2,82,0.009
112.7,19,0.914
84.5,28,0.083
68.4,-42,0.114
104.6,7,0.64
76.5,70,0.003
83,-16,0.1
86.7,-16,0.089
72.5,69,0.003
95.3,25,0.2
,,
75.3,43,0.137
105.3,24,0.903
94.1,10,0.649
83.3,-3,0.154
60.7,-22,0.057
97.3,32,0.28
97.2,39,0.097
82.6,60,0.011
98.7,22,0.371
77.6,26,0.46
100.5,6,0.597
88.1,20,0.523
68.6,21,0.911
76,47,0.086
71.8,-35,0.049
89,37,0.031
69.3,13,0.329
106.6,-1,0.466
106.4,19,0.683
103.3,13,0.934
104.3,23,0.814
99.2,31,0.397
86.5,13,0.831
94.1,36,0.077
92.7,31,0.137
61.9,13,0.229
62,81,0.003
81.6,0,0.194
73.4,19,0.951
92.7,20,0.357
109.9,23,0.991
64.9,-50,0.246
93.8,21,0.254
83.6,61,0.017
90.9,16,0.929
96.6,31,0.32
109.8,17,0.697
103,10,0.814
104.6,33,0.831
90.9,2,0.346
96.5,-9,0.231
86,-29,0.04
91.4,22,0.249
105.9,16,0.583
92.9,21,0.229
87,-28,0.04
83.4,-18,0.069
91,3,0.42
99.7,13,0.906
90.6,-16,0.114
108.4,29,0.974
95.3,5,0.451
76.4,22,0.951
99.5,-13,0.186
108,24,0.977
95.7,-14,0.22
82.9,17,0.96
102.3,19,0.42
77.3,4,0.22
78,24,0.694
86.7,-31,0.074
95.5,-5,0.271
88.4,28,0.069
89.8,66,0.006
83.2,-31,0.037
100.3,32,0.497
71.3,52,0.123
106.6,3,0.563
96.1,3,0.469
90.1,27,0.069
100.8,33,0.497
84.5,57,0.029
69.3,30,0.914
103.7,24,0.829
96.7,-41,0.106
86.2,59,0.014
102.2,-22,0.117
94.3,20,0.331
96.7,-5,0.263
81.8,43,0.009
97.5,21,0.32
110.2,5,0.643
83.3,47,0.011
100.8,17,0.486
99.7,25,0.546
106.9,24,0.96
76.5,86,0.001
105.5,28,0.934
90,14,0.969
104,19,0.5
100.5,47,0.026
96.6,0,0.406
101.7,30,0.683
76.7,-45,0.123
90.9,-20,0.123
77.3,25,0.686
65,-26,0.071
104.7,39,0.434
100,20,0.38
105.3,20,0.654
94.2,-12,0.134
93.5,37,0.086
57.5,21,0.277
64.6,76,0.011
72.9,-11,0.049
85.2,5,0.406
101.5,9,0.729
78.9,-28,0.04
88.1,12,0.734
75.3,-24,0.043
97,73,0.003
103.5,37,0.463
76.3,10,0.297
90.4,-1,0.286
85.6,65,0.003
100.9,-8,0.243
104.5,15,0.66
83.7,53,0.029
59.7,-53,0.266
97.2,20,0.291
75.1,10,0.289
78,0,0.137
105.4,14,0.743
78.1,2,0.186
99.8,25,0.546
86.6,26,0.111
87.9,36,0.02
97.6,34,0.263
78.2,28,0.18
104.5,30,0.88
77,6,0.223
97.5,19,0.346
88.6,11,0.629
85.4,59,0.014
80.8,61,0.017
73.9,-8,0.083
87,20,0.526
74.9,-15,0.037
91.1,38,0.023
91.2,7,0.503
86.9,42,0.003
103.4,3,0.534
96.5,37,0.114
97,35,0.157
103.4,6,0.634
100.9,13,0.906
93.2,41,0.011
97.4,-20,0.146
109.5,13,0.826
107.8,21,0.883
60.7,-56,0.303
105.6,23,0.88
98.3,24,0.417
100.8,5,0.589
102.5,-19,0.166
107.1,4,0.583
101.3,43,0.074
97,-4,0.277
91.4,-9,0.174
99,1,0.429
97.6,-30,0.077
103,26,0.811
80.9,63,0.009
65.8,-1,0.131
109.6,22,0.974
82.3,-2,0.166
86.7,-21,0.083
109.9,21,0.957
61.6,63,0.003
104.8,-7,0.32
88.4,29,0.046
79.9,71,0.006
78.2,-29,0.049
99.8,-5,0.289
106.4,12,0.903
81.1,53,0.026
74.1,-1,0.117
75.3,34,0.189
86,65,0.003
95.8,17,0.497
102.1,5,0.563
92.5,-7,0.191
94,9,0.62
71.8,28,0.86
100.8,3,0.546
107.7,12,0.931
106,31,0.926
103.5,28,0.76
103,6,0.634
90.6,56,0.011
84.7,-30,0.06
97.4,3,0.474
99.2,35,0.28
98.3,27,0.471
87.4,15,0.977
77.4,8,0.249
95.7,16,0.669
83.8,52,0.029
86.7,-39,0.054
72.2,31,0.637
78.9,17,0.946
86.7,67,0.006
86.9,47,0.001
88.5,27,0.071
105.4,9,0.743
57.8,-20,0.08
105.6,5,0.609
89.7,11,0.709
92.7,-3,0.254
98.2,20,0.323
64.3,37,0.529
105.2,-3,0.391
85.2,-19,0.1
90.2,79,0.009
67.4,-16,0.043
93.6,-9,0.194
97.4,-19,0.16
100.8,35,0.414
95.9,27,0.289
75.5,-5,0.094
91.7,27,0.129
103.8,21,0.697
100.1,16,0.526
100,34,0.369
94.1,10,0.649
107.1,3,0.563
116.5,15,0.797
80,55,0.034
90.6,-26,0.074
98.1,26,0.446
84.6,66,0.001
98.7,-17,0.166
98.3,-5,0.263
97.3,24,0.323
98.7,6,0.586
105,-3,0.391
90.2,-3,0.246
107.6,25,0.983
96.9,19,0.346
99.4,17,0.471
98,-29,0.069
104.1,22,0.76
93.3,16,0.826
72.4,-27,0.046
79.9,14,0.743
89.2,21,0.303
92.2,15,0.926
99.3,-2,0.354
104.5,12,0.914
96,25,0.26
105.2,-10,0.354
96.5,47,0.003
102.1,33,0.574
91.9,12,0.831
99,32,0.377
78.7,29,0.151
106.2,22,0.86
103.1,2,0.514
108.6,-12,0.289
97.3,6,0.626
29.3,-63,0.226
84.3,-11,0.109
100.3,9,0.666
88.3,49,0.014
86.5,9,0.451
97.1,44,0.031
93.3,42,0.003
56.9,-70,0.211
94.4,26,0.194
58.5,-68,0.231
91.2,10,0.643
105.8,25,0.937
93.2,56,0.009
94.9,-5,0.271
111.2,21,0.98
76,78,0.001
98.8,47,0.017
76.2,-40,0.091
104.1,32,0.757
84.1,14,0.897
86,-11,0.12
94.3,-31,0.08
81.1,6,0.346
108.7,11,0.946
99.9,-18,0.149
99.2,9,0.637
81.9,38,0.017
105.2,-2,0.411
65.5,71,0.001
103.5,7,0.657
92.4,31,0.08
81.2,37,0.034
54.8,-64,0.24
120.3,6,0.723
96.1,6,0.526
64.9,1,0.114
95.3,-15,0.137
83.4,-24,0.071
90.1,-43,0.086
88,7,0.489
108.9,4,0.611
98.9,1,0.429
86.8,35,0.014
83.8,26,0.151
67.7,17,0.569
74.5,-12,0.071
97.4,8,0.609
77.9,39,0.04
90.9,43,0.009
97.9,-2,0.331
71.7,-37,0.089
103,-3,0.44
102.4,15,0.691
51.1,52,0.011
60.4,21,0.334
101.7,22,0.571
103.7,-7,0.323
91.9,37,0.037
95.4,21,0.257
101,11,0.909
84,43,0.017
95.5,55,0.006
77,73,0.001
93,40,0.014
99.1,24,0.491
92.5,-18,0.103
81.1,41,0.026
97.4,-5,0.263
101,-11,0.234
69,-29,0.057
91.8,-47,0.114
82.9,21,0.68
103.9,20,0.583
94.3,-3,0.26
101.6,19,0.42
81.9,81,0.009
84.3,-14,0.074
96,-14,0.22
99.2,-2,0.354
98.4,-13,0.2
82.9,29,0.071
104.4,35,0.66
81,12,0.517
45.1,8,0.171
100.7,30,0.606
85.2,-3,0.149
100.4,-3,0.34
94.1,58,0.017
108.4,11,0.937
94.4,-22,0.129
81.5,18,0.983
96.2,52,0.017
88.5,52,0.017
84.5,42,0.003
88.2,-19,0.089
104.1,-2,0.374
81.1,-11,0.086
67.9,-42,0.114
91.6,-2,0.283
87.9,21,0.334
74.9,-43,0.123
77.8,62,0.006
89.2,-31,0.074
100.9,12,0.934
81.6,8,0.383
99.4,43,0.054
75.7,22,0.951
105.1,9,0.743
112.4,3,0.583
73.7,11,0.32
85.3,1,0.277
103.8,-20,0.18
101.8,21,0.549
48.8,7,0.12
102.6,38,0.394
92,41,0.009
104.4,27,0.874
81.1,25,0.317
65.2,-25,0.057
92.3,-12,0.134
82.1,12,0.494
77.8,-24,0.04
86.6,46,0.001
65.6,13,0.283
97.1,37,0.171
99.2,29,0.506
63.2,26,0.717
103.2,7,0.657
61.5,84,0.001
93.1,-25,0.103
88.2,43,0.001
67.7,67,0.003
94,22,0.211
68.9,52,0.117
98.1,-12,0.18
101.8,-5,0.306
105.8,0,0.5
64.1,-29,0.04
49.2,-75,0.16
90.5,-19,0.094
103.8,14,0.734
101.4,42,0.12
104.9,54,0.014
85.1,9,0.457
98.5,0,0.4
81.9,-34,0.051
84,23,0.326
74.9,60,0.034
75.1,10,0.289
92,33,0.071
60.3,42,0.254
93.3,27,0.117
105.6,0,0.5
95.7,6,0.526
68,32,0.917
101,22,0.469
97.4,-7,0.231
99.5,25,0.546
80.1,67,0.001
86.5,80,0.001
49,-4,0.146
93.9,6,0.523
101,17,0.486
89.7,49,0.009
108,26,0.989
71.9,73,0.001
90,39,0.009
98.2,46,0.02
103,38,0.394
73.4,-12,0.057
81.6,36,0.029
79.8,-33,0.043
111.4,0,0.571
97.8,7,0.603
107.9,15,0.68
97.6,-5,0.263
97.8,47,0.009
100.7,2,0.494
84.4,66,0.001
97.8,20,0.323
109.1,2,0.526
97.2,-7,0.231
80.4,21,0.863
56.3,58,0.003
102.7,-26,0.163
94.3,26,0.194
83.5,58,0.02
68.8,-11,0.074
93.7,28,0.123
95.3,69,0.017
90.9,-3,0.269
96,35,0.143
107.8,18,0.766
108.6,17,0.663
96,-2,0.314
78.1,9,0.329
100.4,16,0.526
82.5,48,0.011
104.4,-6,0.357
84.4,45,0.02
87,54,0.02
67.4,32,0.923
99.8,16,0.526
79.2,-1,0.16
48.4,-67,0.246
104.7,-13,0.294
82.1,57,0.031
99,-33,0.094
67.8,-29,0.054
87.3,56,0.006
